"X.35830865.","X.NULL.","X.ERR13902112.","X.NULL..1","X.NULL..2","X.AB.310.Genetic.Analyzer.","X.AMPLICON.","X.GENOMIC.","X.PCR."
"35830830","NULL","ERR13901813","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830829","NULL","ERR13902309","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830828","NULL","ERR13901979","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830826","NULL","ERR13902326","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830825","NULL","ERR13902412","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830824","NULL","ERR13902463","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830823","NULL","ERR13901821","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830822","NULL","ERR13902471","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830821","NULL","ERR13902314","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830820","NULL","ERR13901936","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830819","NULL","ERR13902167","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830818","NULL","ERR13902332","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830817","NULL","ERR13901791","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830816","NULL","ERR13901877","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830815","NULL","ERR13902355","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830814","NULL","ERR13901885","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830813","NULL","ERR13902206","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830812","NULL","ERR13902077","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830811","NULL","ERR13902295","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830810","NULL","ERR13902060","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830809","NULL","ERR13902109","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830808","NULL","ERR13901901","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830807","NULL","ERR13902235","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830806","NULL","ERR13902182","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830805","NULL","ERR13902305","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830804","NULL","ERR13902491","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830803","NULL","ERR13902118","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830802","NULL","ERR13902215","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830801","NULL","ERR13902393","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830800","NULL","ERR13902443","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830799","NULL","ERR13901832","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830798","NULL","ERR13901898","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830797","NULL","ERR13901874","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830796","NULL","ERR13902498","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830794","NULL","ERR13902386","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830793","NULL","ERR13902361","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830792","NULL","ERR13902409","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830791","NULL","ERR13901916","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830790","NULL","ERR13902400","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830789","NULL","ERR13901798","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830788","NULL","ERR13902425","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830787","NULL","ERR13902291","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830785","NULL","ERR13902224","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830784","NULL","ERR13902323","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830783","NULL","ERR13902280","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830782","NULL","ERR13901983","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830781","NULL","ERR13902482","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830780","NULL","ERR13901812","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830779","NULL","ERR13902312","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830778","NULL","ERR13902440","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830777","NULL","ERR13902299","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830776","NULL","ERR13902087","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830775","NULL","ERR13901961","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830774","NULL","ERR13902246","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830773","NULL","ERR13901879","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830772","NULL","ERR13901804","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830771","NULL","ERR13901868","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830770","NULL","ERR13902406","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830769","NULL","ERR13902508","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830768","NULL","ERR13902381","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830767","NULL","ERR13902358","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830766","NULL","ERR13902455","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830765","NULL","ERR13902035","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830764","NULL","ERR13902396","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830763","NULL","ERR13902041","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830762","NULL","ERR13901829","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830761","NULL","ERR13902000","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830760","NULL","ERR13901863","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830759","NULL","ERR13902505","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830758","NULL","ERR13901871","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830757","NULL","ERR13902485","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830755","NULL","ERR13901801","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830754","NULL","ERR13902464","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830753","NULL","ERR13902015","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830752","NULL","ERR13901850","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830751","NULL","ERR13902459","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830750","NULL","ERR13902080","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830749","NULL","ERR13902174","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830748","NULL","ERR13902493","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830747","NULL","ERR13902445","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830746","NULL","ERR13901853","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830745","NULL","ERR13902474","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830744","NULL","ERR13901807","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830743","NULL","ERR13901855","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830742","NULL","ERR13902334","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830741","NULL","ERR13901797","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830740","NULL","ERR13902430","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830739","NULL","ERR13902072","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830738","NULL","ERR13901842","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830737","NULL","ERR13902061","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830736","NULL","ERR13901816","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830735","NULL","ERR13901789","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830734","NULL","ERR13902218","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830733","NULL","ERR13902317","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830732","NULL","ERR13902293","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830731","NULL","ERR13901994","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830730","NULL","ERR13901915","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830729","NULL","ERR13902426","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830728","NULL","ERR13902329","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830727","NULL","ERR13901794","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830725","NULL","ERR13902115","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830724","NULL","ERR13901971","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830723","NULL","ERR13902178","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830722","NULL","ERR13901894","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830721","NULL","ERR13902113","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830720","NULL","ERR13902271","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830719","NULL","ERR13902135","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830718","NULL","ERR13902413","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830717","NULL","ERR13902467","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830716","NULL","ERR13902043","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830715","NULL","ERR13902373","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830714","NULL","ERR13902136","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830713","NULL","ERR13902315","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830712","NULL","ERR13902234","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830711","NULL","ERR13901892","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830710","NULL","ERR13902360","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830709","NULL","ERR13901803","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830708","NULL","ERR13902398","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830707","NULL","ERR13902100","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830706","NULL","ERR13902103","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830705","NULL","ERR13902163","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830704","NULL","ERR13902034","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830703","NULL","ERR13901847","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830702","NULL","ERR13902058","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830701","NULL","ERR13902367","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830700","NULL","ERR13902450","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830699","NULL","ERR13901940","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830698","NULL","ERR13902040","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830697","NULL","ERR13902079","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830696","NULL","ERR13901784","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830695","NULL","ERR13902475","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830694","NULL","ERR13902442","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830693","NULL","ERR13902395","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830692","NULL","ERR13901866","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830691","NULL","ERR13902404","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830690","NULL","ERR13902121","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830689","NULL","ERR13902003","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830688","NULL","ERR13902477","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830687","NULL","ERR13901858","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830686","NULL","ERR13902097","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830685","NULL","ERR13902239","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830684","NULL","ERR13902108","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830683","NULL","ERR13902256","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830682","NULL","ERR13902303","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830681","NULL","ERR13902070","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830680","NULL","ERR13902341","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830679","NULL","ERR13902499","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830678","NULL","ERR13902479","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830676","NULL","ERR13901924","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830675","NULL","ERR13902298","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830674","NULL","ERR13902310","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830673","NULL","ERR13902353","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830672","NULL","ERR13901883","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830671","NULL","ERR13902222","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830670","NULL","ERR13902050","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830669","NULL","ERR13901823","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830668","NULL","ERR13902056","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830667","NULL","ERR13902032","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830666","NULL","ERR13902501","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830665","NULL","ERR13901884","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830664","NULL","ERR13902385","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830663","NULL","ERR13902470","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830662","NULL","ERR13902205","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830661","NULL","ERR13902142","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830660","NULL","ERR13902093","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830659","NULL","ERR13901833","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830658","NULL","ERR13902483","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830657","NULL","ERR13901825","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830656","NULL","ERR13902494","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830655","NULL","ERR13901890","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830654","NULL","ERR13901872","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830653","NULL","ERR13902313","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830651","NULL","ERR13902219","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830650","NULL","ERR13901822","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830648","NULL","ERR13902011","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830647","NULL","ERR13902102","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830646","NULL","ERR13902290","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830645","NULL","ERR13902370","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830644","NULL","ERR13902175","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830643","NULL","ERR13902468","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830642","NULL","ERR13902322","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830641","NULL","ERR13901999","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830640","NULL","ERR13902476","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830639","NULL","ERR13902162","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830638","NULL","ERR13902451","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830637","NULL","ERR13902057","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830636","NULL","ERR13902333","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830634","NULL","ERR13902489","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830633","NULL","ERR13901950","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830632","NULL","ERR13901818","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830631","NULL","ERR13902375","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830630","NULL","ERR13902352","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830629","NULL","ERR13901802","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830628","NULL","ERR13902437","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830627","NULL","ERR13901993","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830626","NULL","ERR13901835","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830625","NULL","ERR13902487","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830623","NULL","ERR13902343","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830622","NULL","ERR13901902","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830621","NULL","ERR13902127","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830620","NULL","ERR13901843","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830619","NULL","ERR13902345","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830618","NULL","ERR13902441","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830617","NULL","ERR13902134","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830616","NULL","ERR13902306","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
